,ИНН,legal
978,2635076214,ЮЛ
979,2635086621,ЮЛ
980,2635089936,ЮЛ
981,2635094541,ЮЛ
982,2635122083,ЮЛ
983,2635130373,ЮЛ
984,2635209954,ЮЛ
985,2635221863,ЮЛ
986,2635230089,ЮЛ
987,2635232671,ЮЛ
988,2635239317,ЮЛ
989,2635243610,ЮЛ
990,2635244194,ЮЛ
991,2635248424,ЮЛ
992,2635258479,ЮЛ
993,2635823628,ЮЛ
994,2636000641,ЮЛ
995,2636050829,ЮЛ
996,2636052865,ЮЛ
997,2636207050,ЮЛ
998,2636215894,ЮЛ
999,2636801680,ЮЛ
1000,2636803134,ЮЛ
1001,2636809070,ЮЛ
1002,2700004639,ЮЛ
1003,2700007735,ЮЛ
1004,2700008440,ЮЛ
1005,2700013143,ЮЛ
1006,2700016049,ЮЛ
1007,2702080071,ЮЛ
1008,2703043957,ЮЛ
